time;battery;ec;humidity;temperature
0:1:33;  -1;  119.0;  28.84;  3.9
0:11:35;  -1;  118.0;  28.84;  3.8
0:21:36;  -1;  118.0;  28.84;  3.8
0:31:38;  -1;  118.0;  28.84;  3.8
0:41:39;  -1;  117.0;  28.84;  3.8
0:51:40;  -1;  118.0;  28.84;  3.9
1:1:42;  -1;  118.0;  28.84;  3.8
1:11:43;  -1;  119.0;  28.84;  3.8
1:21:44;  -1;  118.0;  28.84;  3.8
1:31:46;  -1;  118.0;  28.84;  3.8
1:41:47;  -1;  118.0;  28.84;  3.8
1:51:49;  -1;  118.0;  28.84;  3.8
2:1:50;  -1;  118.0;  28.84;  3.8
2:11:51;  -1;  118.0;  28.84;  3.8
2:21:53;  -1;  118.0;  28.84;  3.8
2:31:54;  -1;  118.0;  28.84;  3.7
2:41:56;  -1;  118.0;  28.84;  3.7
2:51:57;  -1;  118.0;  28.84;  3.7
3:1:58;  -1;  118.0;  28.84;  3.7
3:12:0;  -1;  118.0;  28.84;  3.7
3:22:1;  -1;  118.0;  28.84;  3.7
3:32:3;  -1;  118.0;  28.84;  3.7
3:42:4;  -1;  118.0;  28.84;  3.7
3:52:5;  -1;  118.0;  28.84;  3.7
4:2:7;  -1;  118.0;  28.84;  3.7
4:12:8;  -1;  118.0;  28.84;  3.7
4:22:10;  -1;  118.0;  28.84;  3.7
4:32:11;  -1;  118.0;  28.92;  3.7
4:42:12;  -1;  119.0;  29.13;  3.7
4:52:14;  -1;  120.0;  29.26;  3.7
5:2:15;  -1;  121.0;  30.3;  3.7
5:12:17;  -1;  125.0;  31.78;  3.6
5:22:18;  -1;  131.0;  32.65;  3.5
5:32:19;  -1;  136.0;  33.18;  3.4
5:42:21;  -1;  142.0;  33.54;  3.4
5:52:22;  -1;  146.0;  34.0;  3.4
6:2:23;  -1;  148.0;  34.0;  3.3
6:12:25;  -1;  148.0;  33.77;  3.3
6:22:26;  -1;  148.0;  33.48;  3.3
6:32:28;  -1;  147.0;  33.24;  3.4
6:42:29;  -1;  147.0;  32.96;  3.4
6:52:30;  -1;  146.0;  32.8;  3.4
7:2:32;  -1;  145.0;  32.65;  3.4
7:12:33;  -1;  145.0;  32.5;  3.4
7:22:35;  -1;  145.0;  32.36;  3.4
7:32:36;  -1;  145.0;  32.21;  3.4
7:42:37;  -1;  145.0;  32.15;  3.4
7:52:39;  -1;  145.0;  32.15;  3.4
8:2:40;  -1;  145.0;  32.21;  3.4
8:12:42;  -1;  149.0;  32.5;  3.5
8:22:43;  -1;  150.0;  32.73;  3.5
8:32:44;  -1;  152.0;  32.73;  3.5
8:42:46;  -1;  152.0;  32.65;  3.5
8:52:47;  -1;  152.0;  32.59;  3.5
9:2:49;  -1;  152.0;  32.59;  3.5
9:12:50;  -1;  152.0;  32.36;  3.5
9:32:53;  -1;  151.0;  32.29;  3.6
9:42:54;  -1;  151.0;  32.29;  3.6
9:52:56;  -1;  151.0;  32.21;  3.7
10:2:57;  -1;  151.0;  32.21;  3.7
10:12:58;  -1;  151.0;  32.15;  3.7
10:23:0;  -1;  150.0;  32.08;  3.8
10:33:1;  -1;  150.0;  32.0;  3.8
10:43:3;  -1;  150.0;  32.0;  3.8
10:53:4;  -1;  150.0;  31.93;  3.8
11:3:5;  -1;  150.0;  31.78;  3.9
11:13:7;  -1;  150.0;  31.71;  3.9
11:23:8;  -1;  148.0;  31.71;  4.0
11:33:9;  -1;  148.0;  31.64;  4.0
11:43:11;  -1;  147.0;  31.56;  4.1
11:53:12;  -1;  147.0;  31.56;  4.1
12:3:14;  -1;  147.0;  31.49;  4.1
12:13:15;  -1;  147.0;  31.49;  4.1
12:23:16;  -1;  146.0;  31.49;  4.2
12:33:18;  -1;  146.0;  31.42;  4.2
12:43:19;  -1;  146.0;  31.42;  4.3
12:53:21;  -1;  146.0;  31.42;  4.3
13:3:22;  -1;  146.0;  31.42;  4.4
13:13:23;  -1;  145.0;  31.35;  4.5
13:23:25;  -1;  145.0;  31.35;  4.5
13:33:26;  -1;  145.0;  31.35;  4.6
13:43:28;  -1;  146.0;  31.35;  4.6
13:53:29;  -1;  146.0;  31.21;  4.7
14:3:30;  -1;  146.0;  31.21;  4.7
14:13:32;  -1;  145.0;  31.21;  4.8
14:23:33;  -1;  145.0;  31.21;  4.8
14:33:34;  -1;  145.0;  31.13;  4.8
14:43:36;  -1;  145.0;  31.13;  4.9
14:53:37;  -1;  145.0;  31.13;  4.9
15:3:39;  -1;  145.0;  31.06;  4.9
15:13:40;  -1;  145.0;  31.06;  4.9
15:23:41;  -1;  145.0;  31.06;  4.9
15:33:43;  -1;  145.0;  31.06;  4.9
15:43:44;  -1;  144.0;  30.99;  5.0
15:53:46;  -1;  145.0;  30.99;  4.9
16:3:47;  -1;  145.0;  31.06;  4.9
16:13:48;  -1;  145.0;  31.06;  4.9
16:23:50;  -1;  145.0;  30.99;  4.9
16:33:51;  -1;  145.0;  30.99;  4.9
16:43:53;  -1;  145.0;  30.99;  4.9
